Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Atribuido a Tirso de Molina ,,El burlador de Sevilla,2003,Teatro Libre,Ricardo Camacho,12 de julio de 2003,Festival de Teatro Medieval y Clásico Ciudad de Chinchilla,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",,Ricardo Camacho,,"Christian Ballesteros, Martha Lazcano, Walter Suaza, Leonardo Zossi, Nelson Celis, Claudia Ramírez, Ricardo de los Ríos, Germán Pico, Diego Barragán, Alejandra Guarín, Carolina González, Angie Bueno, Daniela Helmsdorff, Alberto Zornoza y Walter Suaza",Ricardo Camacho,Juan Luis Restrepo,,,,Teatro Libre ,Auditorio Municipal de Chinchilla (Albacete),
Tirso de Molina ,,El vergonzo en palacio,2003,Aula de Teatro de la UEX,,,,"Mireno es ese joven pastor que no lo es y que se avergüenza de su condición y siente estar llamado a mayores empresas, por lo que debe abandonar su aldea para lograr sus aspiraciones mediante la experiencia. Su trayectoria personal será una superación social y sentimental propiciada por Madalena. En definitiva, una comedia en la que se suceden traiciones y deshonras, suplantaciones y engaños, injurias e insultos, pero cuya expectativa es su disolución y el final feliz, como manda el canon del género palatino, que suscribe la importancia de la dimensión lúdica de su teatro.",,Asunción Mieres,,"Rocío Montero Barahona, Raquel González Mateos, Fulgencio Valares Garrote, José María González Corrales",,,,,,Aula de Teatro de la UEX,,
Tirso de Molina ,,La celosa de sí misma,2003,Compañía Nacional de Teatro Clásico (CNTC),Bernardo Sánchez,21 de noviembre de 2003,,"Melchor, un joven leonés recién llegado a Madrid para casarse, se enamora de una mujer cubierta por un manto, es decir, de lo único que ve de la “tapada”: su mano. Requiebros y galanteos con la misteriosa mujer, a las puertas de la iglesia de moda, retrasan la llegada del joven a casa de Magdalena, su prometida a la cual no ha visto nunca.

El encuentro de los novios desvela la coincidencia que da lugar a la comedia: Magdalena y la “tapada” son la misma dama. Obviamente, Melchor no se percata de que corteja a su prometida a espaldas de ella misma.",https://teatroclasico.mcu.es/2010/08/28/la-celosa-de-si-misma-2003/,Luis Olmos,Gabriel Carrascal,"Joaquín Notario, Vicente Díez, José Luis Patiño, Fernando Cayo, Carmen Belloch, Pepa Pedroche, Cipriano Losada, Goizalde Núñez, César Sánchez, Juan Viadas y Ali Reza. Intérpretes-bailarines: Crisitina Arias, Olga Castro, Nacho Castro, Virginia Flores, Ivan Luis, Viviana López Doynel, Eva Muñoz y Roberto da Silva",Juan Gómez Cornejo (AAI),Yann Diez Doizy,,María Luisa Engel,,Compañía Nacional de Teatro Clásico (CNTC),Teatro Pavón de Madrid,
Tirso de Molina ,,La dama del olivar,2003,Caleido,,,,"Don Juan está enamorado de Doña Leonor, pero su timidez le impide declararle su amor. Para complicar aún más las cosas, su amigo Don Juanito intenta ayudarlo a superar su vergüenza, lo que da lugar a una serie de situaciones cómicas y enredos. A medida que avanza la historia, se presentan diversos personajes que contribuyen al caos y la confusión, incluyendo a criados y nobles que juegan un papel crucial en el desenlace.",,Juan Antonio Barceló,,,,,,,,Caleido,,
Tirso de Molina ,,Sueño del duque de Belaqua,2003,Anthares Teatro,Virginia Nölting y Javier Parra,21 de octubre de 2003,,,Extinguida,Virginia Nölting y Javier Parra,Javier Parra,,,Rafaek Castillo Romero,,Patricia Franco y Virginia Nölting,,Anthares Teatro,Teatro Cánovas de Málaga,
Tirso de Molina ,,El condenado por desconfiado ,2004,Corporación Teatro del Valle,,2 de diciembre de 2004,,"Don Juan, un joven noble que, debido a su naturaleza desconfiada, termina condenándose a sí mismo. A lo largo de la trama, se enfrenta a situaciones que ponen a prueba su carácter y sus relaciones, lo que lo lleva a reflexionar sobre sus acciones y la importancia de la confianza en las relaciones humanas. La obra combina elementos de comedia y drama, ofreciendo una crítica a la desconfianza y sus efectos destructivos en la vida de las personas.",https://escenicas.univalle.edu.co/noticias/item/136-condenado,Alejandro González Puche,Pedro Ruiz,"Néstor Durán, Manuel Viveros, Marñeyda Soto, Jhonny Alexander y Felipe Pérez Muñoz",,,,Pedro Ruiz,,Corporación Teatro del Valle,Teatro de la Universidad de Murcia,
Tirso de Molina ,,Gil el verde,2004,Ciénaga Teatro,Pepe Ola,18 de noviembre de 2004,,"Don Gil, un joven noble que se disfraza de mujer para conquistar a Doña Inés, una hermosa dama que está prometida a otro hombre. A través de su ingenioso disfraz y su astucia, Don Gil logra infiltrarse en el círculo social de Doña Inés, generando una serie de enredos y malentendidos.

La trama se desarrolla en un ambiente lleno de intrigas amorosas y situaciones cómicas, donde los personajes deben enfrentarse a sus propios deseos y las convenciones sociales de la época. A medida que avanza la historia, se exploran temas como el amor, la identidad y la dualidad de los roles de género. La obra destaca por su aguda crítica social y su habilidad para mezclar humor con reflexiones sobre la naturaleza humana.",http://pacosanjose.com/actores/abel-mora/,Pepe Ola,Pedro Pacheco,"Margarita Espada, Rafael Tubío, Iosume Onraita, Abel Fernández y Mané Muñoz",Pedro Pacheco,Pedro Pacheco y Sergio Monroy,,Concha Piñero,,Ciénaga Teatro,Sala Central Lechera de Cádiz,
Tirso de Molina ,,La venganza de Tamar,2004,Royal Shakespeare Company,James Fenton y Simon Masterton,28  de abril de 2004 en Swan. 28 de octubre de 2004,Festival de Otoño,"Las disputas entre los hijos de David para sucederle en el trono y la relación incestuosa que mantendrá su hija Tamar con uno de ellos. Los hijos de David, que acaban de volver de la guerra, se preguntan quién sucederá a su anciano padre. Una tarde, Amón, el hijo mayor, oye una bella voz que canta al otro lado del muro, en el harén de su padre. Seducido, descubre que se trata de su propia hermana, y se obsesiona con ella.",,Simon Usher,Es Devlin,"William Buckhurst, James Chalmers, Joseph Chance, Julius D'Silva, Rebecca Johnson, Katherine Kelly, Melanie Machugh, Vinta Morgan, Emma Pallant, Matt Ryan, Peter Sproule, John Stahl, Joanna van Kampen, John Wark y Oliver Williams. Músicos: Ian Reynolds, Edward Watson, David Carroll, Simon Phillips, Kevin Waterman y Michael Tubbs",Ben Ormerod,Michael Tubbs y Neil McArthur,,Delia Peel,Gaby Agis,Royal Shakespeare Company,En Swan: Theatre de Stratford-upon-Avon. En España en Teatro Español de Madrid,
Tirso de Molina ,,Desde Toledo a Madrid,2006,Rakatá,Carlos Aladro,,,"Un hombre celoso y despechado, en una noche de pendencia, irrumpe al huir de la justicia en la alcoba de una dama. El encuentro hará que los dos se replanteen la vida a la que parecen predeterminados ante la posibilidad de un nuevo y verdadero amor. Doña Mayor, es una dama toledana que se va a casar por compromiso en Madrid, al día siguiente. Don Baltasar, pretende conquistarla. Durante dos jornadas de viaje entre Toledo y Madrid, asistimos a una lucha contra reloj, urdida por los amantes. Él disfrazado de mozo de mulas y ella, desplegando todos los sutiles ardides de la inteligencia femenina. Tirso despliega todo su ingenio y sabiduría, en el retrato de unos personajes frágiles pero llenos de determinación, dispuestos a seguir los impulsos de sus pasiones y rebelarse contra lo establecido.",https://www.artezblai.com/desde-toledo-a-madrid-cia-rakata/,Carlos Aladro,Almudena López,"Alejandra Mayo, Carmen Pardo, Chema Ruiz, Elia Muñoz, Ernesto Arias, Javier Ortiz, Leticia Santafé, Luis Moreno, Paco Luque. ",José Manuel Guerra,Rodrigo Muñoz,,Susana Moreno,,Rakata Capricante,,
Tirso de Molina ,,Don Gil de las calzas verdes,2006,Compañía Nacional de Teatro Clásico (CNTC),Eduardo Vasco,29 de junio de 2006,Festival Internaiconal de Teatro Clásico,"Don Gil, un joven noble que se disfraza de mujer para conquistar a Doña Inés, una hermosa dama que está prometida a otro hombre. A través de su ingenioso disfraz y su astucia, Don Gil logra infiltrarse en el círculo social de Doña Inés, generando una serie de enredos y malentendidos.

La trama se desarrolla en un ambiente lleno de intrigas amorosas y situaciones cómicas, donde los personajes deben enfrentarse a sus propios deseos y las convenciones sociales de la época. A medida que avanza la historia, se exploran temas como el amor, la identidad y la dualidad de los roles de género. La obra destaca por su aguda crítica social y su habilidad para mezclar humor con reflexiones sobre la naturaleza humana.",https://teatroclasico.mcu.es/2010/08/31/don-gil-de-las-calzas-verdes-2006/,Eduardo Vasco,Carolina González,"Juan Meseguer, Montse Díez, Joaquín Notario, José Luis Santos, Miguel Cubero, César Sánchez, Pepa Pedroche, Toni Misó, Elena Rayos, Ione Irazábal, Paco Paredes, Emilio Buale, Jordi Dauder, Javier Mejía, Jorgue Gurpegui, Rodrigo Arribas y Xavi Montesinos. Arpa: Sara Águeda",Miguel Ángel Camacho (AAI),Alicia Lázaro,,Lorenzo Caprile,,CNTC,"Hospital de San Juan, Almagro (Ciudad Real)",
Atribuido a Tirso de Molina ,,El burlador de Sevilla,2006,Assaig. Grup de Teatre de la Universitar València,,,,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",https://www.uv.es/cultura/v/efim/teatreburlador06.htm,Pep Sanchís Vento,Carles Montoliú,"Anna Marí Aguilar, Daniel Tormo Martínez, Laura Lara Martín, José Vila-Belda Montalt, Lorena Jiménez Álvarez, Josep Lluis Perís i Pla, Isaac Albarracín Pons, Sergio Moreno Garrido, Severino Montero Membila y Miquel",,,,Antonio Moreno,,Assaig. Grup de Teatre de la Universitar València,,
Tirso de Molina ,,Don Gil de las calzas verdes,2007,"Esceula Superior de Arte Dramático de Murcia, ESAD",Francisco García Vicente,,,"Don Gil, un joven noble que se disfraza de mujer para conquistar a Doña Inés, una hermosa dama que está prometida a otro hombre. A través de su ingenioso disfraz y su astucia, Don Gil logra infiltrarse en el círculo social de Doña Inés, generando una serie de enredos y malentendidos.

La trama se desarrolla en un ambiente lleno de intrigas amorosas y situaciones cómicas, donde los personajes deben enfrentarse a sus propios deseos y las convenciones sociales de la época. A medida que avanza la historia, se exploran temas como el amor, la identidad y la dualidad de los roles de género. La obra destaca por su aguda crítica social y su habilidad para mezclar humor con reflexiones sobre la naturaleza humana.",,Francisco García Vicente ,Francisco García Vicente,"Alfonso Enrique, Edgar López, Elia Estrada, Francisco García Vicente, Francisco Pardo, Higinio Bautista, José Ángel Moreno, Juan Jesús López, Lucía Padilla, Miguel Cegarra, Neila Díaz",Luisma Soriano,Luisma Soriano y Javier Mateo,,Paco Tovar,,"Esceula Superior de Arte Dramático de Murcia, ESAD",,
Atribuido a Tirso de Molina ,,El burlador de Sevilla,2007,"Teatro de la Tormenta, Xananda",Roberto Quintana,,,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",,Hadi Kurich,Pedro Muñoz,"Antonio Garrido, Iván Gonzalo, Javi Mora, Oscar Santervás, Paco Maestre, Roberto Quintana, Victor Clavijo, Xénia Sevillano",Juanjo Llorens,,,Ana Garay,,"Teatro de la Tormenta, Xananda",,
Atribuido a Tirso de Molina ,,El burlador de Sevilla,2008,Pentación,,28 de junio de 2008,Featival de Teatro Clásico de Almagro,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",,Emilio Hernández,Francisco Leal y Javier Ruiz de Alegría,"Fran Perea, Jorge Roelas, Isabel Pintor, Manuel Tejada, Juan Fernández, Enrique Arce, Lluvia Rojo, Marina San José y Ana Salazar",Francisco Leal y Pedro Yagüe,David San José,,Helena Sanchis,,Pentación,"Almagro, Ciudad Real",
Atribuido a Tirso de Molina ,,El burlador de Sevilla,2008,Teatro de la Abadía,Dan Jemmett,22 de febrero de 2008,,"La historia sigue las andanzas de Don Juan Tenorio, un joven noble y seductor que se dedica a engañar y burlarse de las mujeres y de la sociedad en general. A lo largo de la obra, Don Juan seduce a varias mujeres, dejando un rastro de deshonor y desdicha a su paso. Su comportamiento irresponsable y su falta de respeto por las normas sociales lo llevan a un encuentro con el fantasma del Comendador, a quien había asesinado previamente. Este espectro, conocido como el ""convidado de piedra"", le lanza un desafío que culmina en un enfrentamiento final. La obra explora temas como la justicia, la moralidad y las consecuencias de las acciones, mientras que el carisma de Don Juan y su desprecio por las convenciones sociales lo convierten en un personaje fascinante y trágico.",https://www.teatroabadia.com/espectaculo/el-burlador-de-sevilla/,Dan Jemmett,Dick Bird,"Antonio Gil Martínez, Ester Bellver, Lino Ferreira, David Luque, Luis Moreno y Marta Poveda.",Dominique Borrini,,,Dick Bird,,Teatro de la Abadía,Teatro de la Abadía de Madrid,
Tirso de Molina ,,La mujer por fuerza,2008,Brazodoble Producciones,"Amaya Curieses, J. Mª Ruano de Haza",7 de marzo de 2008,,"El Conde Federico regresa de una embajada en Hungría a su Nápoles natal, donde le espera su amada Fiorela. Lo que no sabe el pobre Conde es que, desde aquel país, le ha seguido Finea, la hermana de Alberto, hombre notable, que ha alojado a Federico durante su estancia extranjera. Finea se ha enamorado perdidamente, pero en secreto, del Conde. Disfrazada de paje, entra a trabajar a su servicio, y desde tan privilegiado puesto, comienza a desbaratar los planes de boda entre éste y Fiorela. Enredando a unos y a otros con vericuetos y engaños conseguirá lograr su propósito: el casamiento con su amado.",,José Maya,,"Álex Tormo, Alicia Gonzáles, Ana Alonso, Beatriz Ortega, Chiqui Maya, José Bustos, José Carrasco, Juan Carlos Arráez, Vanesa Rasero",José Miguel López Sáez,Toni Madigan,,María Luisa Ángel,,Brazodoble Producciones,"Corral de Comedias de Alcalá de Henares, Madrid",
